"","cnames","y","aid"
"1068","Congo (Kinshasa)","1991","0"
"1069","Cote d'Ivoire","1991","3.8"
"1070","Djibouti","1991","2.5"
"1071","Equatorial Guinea","1991","0.2"
"1072","Eritrea","1991",
"1073","Ethiopia","1991",
"1074","Gabon","1991","0.5"
"1075","Gambia, The","1991","0.9"
"1076","Ghana","1991","1.7"
"1077","Guinea","1991","1.3"
"1078","Guinea-Bissau","1991","0.6"
"1079","Kenya","1991","1"
"1080","Lesotho","1991","0.4"
"1081","Liberia","1991",
"1082","Madagascar","1991","0.3"
"1083","Malawi","1991","0.4"
"1084","Mali","1991","0.4"
"1085","Mauritania","1991","0.1"
"1086","Mauritius","1991","0.9"
"1087","Mozambique","1991","0.1"
"1088","Namibia","1991","4.6"
"1089","Niger","1991","4.4"
"1090","Nigeria","1991","0.3"
"1091","Rwanda","1991","0.4"
"1092","Sao Tome & Principe","1991","0.2"
"1093","Senegal","1991","8.1"
"1094","Seychelles","1991","0.6"
"1095","Sierra Leone","1991","4.3"
"1096","Somalia","1991",
"1097","South Africa","1991",
"1098","Sudan","1991",
"1099","Swaziland","1991","0.2"
"1100","Tanzania","1991","0.1"
"1101","Togo","1991","0.4"
"1102","Uganda","1991","0.3"
"1103","Zambia","1991",
"1104","Zimbabwe","1991","1.9"
"1105","Angola","1992",
"1106","Benin","1992","0.2"
"1107","Botswana","1992","0.8"
"1108","Burkina Faso","1992",
"1109","Burundi","1992","0.3"
"1110","Cameroon","1992","0.4"
"1111","Cape Verde","1992","0.5"
"1112","Central African Republic","1992","0.4"
"1113","Chad","1992","0.5"
"1114","Comoros","1992","0.1"
"1115","Congo (Brazzaville)","1992","0.2"
"1116","Congo (Kinshasa)","1992",
"1117","Cote d'Ivoire","1992","0.3"
"1118","Djibouti","1992","0.1"
"1119","Equatorial Guinea","1992","0.1"
"1120","Eritrea","1992",
"1121","Ethiopia","1992",
"1122","Gabon","1992","0.2"
"1123","Gambia, The","1992","0.3"
"1124","Ghana","1992","0.7"
"1125","Guinea","1992","0.5"
"1126","Guinea-Bissau","1992","0.4"
"1127","Kenya","1992","1.1"
"1128","Lesotho","1992","0.2"
"1129","Liberia","1992",
"1130","Madagascar","1992","0.2"
"1131","Malawi","1992","0.2"
"1132","Mali","1992","0.3"
"1133","Mauritania","1992",
